"Advanced Settings","Advanced Settings"
"Is searchable (fulltext)","Is searchable (fulltext)"
"Results in marketplace vendor.","Results in marketplace vendor."
Verified,Verified
"Results in marketplace vendors.","Results in marketplace vendors."
"Show more.","Show more."
"Marketplace Seller Settings","Marketplace Seller Settings"
Setting,Setting
"Enabled Index","Enabled Index"
"Max result","Max result"
"Marketplace Seller Autocomplete","Marketplace Seller Autocomplete"
"Max size","Max size"
"Elasticsuite Seller Indexing","Elasticsuite Seller Indexing"
"Reindex Elasticsuite Marketplace Seller.","Reindex Elasticsuite Marketplace Seller."
"Is searchable","Is searchable"
"MarketPlace Vendors","MarketPlace Vendors"
